Username,Job Title,Department
denglishbi,PRINCIPAL PROGRAM MANAGER,CAT General US R&D
bippityboppitywhoops,SR. M365 ACE ENGINEER,Strategic Support
_danimir,SENIOR PROGRAM MANAGER,SQL DB Serbia
danielbunny,PRINCIPAL PROGRAM MANAGER,R&D Data - Synapse
danieljcrawford,SENIOR PROGRAM MANAGER,CAT General UK R&D
free-lemon7292,Product Manager II,PBI Platform PM R&D IL
dbabulldog,Sr Cloud Solution Architect,US SLED CSU Cloud AI
dariusz-porowski,Principal Software Engineer,Azure Incubations
dbrownems,PRINCIPAL PROGRAM MANAGER,CAT General US R&D
davidcoe_msft,PRINCIPAL ENGINEERING MANAGER,Data Integration
david_15093,Principal Software Engineer,COGS Data - SQL DB
dlevy-msft,PRINCIPAL PRODUCT MANAGER,R&D Data- SQL & Migration-1010
dm_msft,Sr Cloud Solution Architect,CS_Shared_COGSUnited Kingdom_1071
dpless-msft,PRINCIPAL PRODUCT MANAGER,COGS Data- SQL & Migration-1010
diresearch,Senior Product Researcher,Analytics UX US
deeraja,SENIOR PROGRAM MANAGER,Data Engineering R&D US
ndenyse,SENIOR PROGRAM MANAGER,Power BI_c
drdesignengine,SENIOR UX DESIGNER,Fabric UX US
techbarista9,Senior Data Engineer,Insights & Analytics US R&D
fabricopenwarehouser,PRINCIPAL PRODUCT MANAGER,AI US 1010 OPEX
dfurmanms,PRINCIPAL PROGRAM MANAGER,R&D Data- SQL & Migration-1010
djmicrosoft,PARTNER GROUP SW ENG MGR,Data Engineering R&D US
dareamey,PRINCIPAL SOFTWARE ENG MGR,R&D Data-SQL DW
dzsquared,PRINCIPAL PRODUCT MANAGER,R&D Data- SQL & Migration-1010
onepocketbigfoot,PARTNER DESIGN DIRECTOR,Community Partner US COGS
da-at-ms,SENIOR PROGRAM MANAGER,Intelligent user experience
ecotte,SENIOR PROGRAM MANAGER,CAT MRTA FR R&D
eeshan-pbi,Principal Software Engineer,Power BI AI_r
emininberg,SENIOR PRODUCT MANAGER,Intelligent user experience
elizabetholdag,PRINCIPAL PRODUCT MANAGER LEAD,OneLake PM Eng US R&D
emilyklisa,Principal GPM,Intelligent user experience
impressive_brain523,​​Principal Product Manager,R&D Data - CDM 1010
erenorbey,SENIOR PRODUCT MANAGER,Azure Data Architects R&D US
erinstellato,PRINCIPAL PRODUCT MANAGER,R&D Data- SQL & Migration-1010
substantial-dark744,SENIOR PROGRAM MANAGER,PBI Platform PM R&D IL
faisalm0,"CVP, DATA INTEGRATION",Azure_AS_c
inevitablefly4694,Principal Software Engineer,Data Engineering R&D US
pixiefr,SENIOR PRODUCT DESIGNER,Data Integration UX US
even_seat_1031,PRINCIPAL PROGRAM MANAGER,Power BI CAT_c
filippopovic,PRINCIPAL PROGRAM MANAGER,DataWarehouse R&D RS
fredguix,SENIOR PRODUCT MANAGER,Azure Data - Aliso Viejo
capable_win5292,PRINCIPAL PROGRAM MANAGER,CAT General UK R&D
g_microsoft,SENIOR PRODUCT DESIGNER,Data Integration UX US
garyhopems,PRINCIPAL PROGRAM MANAGER,CAT DE US R&D
gsaurer,PRINCIPAL PRODUCT MANAGER,PBI Platform PM R&D IL
graceg0ng,Service Engineer,EngOps CRE US 1010
msftfabricuserhg,PRINCIPAL PRODUCT MANAGER,R&D Azure Data IDC (Bgl)
sharlkaur,SENIOR PRODUCT MANAGER,Intelligent user experience
gillharmeet,SENIOR PROGRAM MANAGER,OneLake PM Eng US COGS
status_study_4813,Architect,Innovate & Unify-1075-Canada-COGS
hasanaboshally,SENIOR PRODUCT MANAGER,PBI Platform PM R&D IL
dangerous-cucumber67,Principal Group Program Manager,Community Partner US
difficult_ad_9206,PRINCIPAL PROGRAM MANAGER,Power BI CAT - Netherlands
hudequei,SENIOR PROGRAM MANAGER,R&D Data- SQL & Migration-1010
im_shortcircuit,PRINCIPAL PRODUCT MANAGER,Azure Data RnD 1010
vegetablead1526,PRINCIPAL PM MANAGER,Synapse Data Factory COGS
powered_by_pbi,PRODUCT MANAGER 2,Intelligent user experience
jikaijackma_msft,PRINCIPAL ENGINEERING MANAGER,R&D Data - ADF 1010
thanasaur,PRINCIPAL ENGINEERING MANAGER,Insights & Analytics US R&D
cosmosguru_,PRODUCT MANAGER 2,R&D Data-Cloud DB-PM_1010_r
jchmsft,Software Engineer,Data Integration
jaydestro,SENIOR PROGRAM MANAGER,R&D Data-Cloud DB-PM_1010_r
jeffrey-wang-2021,PARTNER ARCHITECT,Power BI Eng R&D US
data-scribe,PRINCIPAL CONTENT DESIGNER,BI UX US
jennyace01,PRINCIPAL PROGRAM MANAGER,R&D Data - Synapse
luitwieler,SENIOR PRODUCT MANAGER,R&D Data - CDM 1010
jerry-nixon,PRINCIPAL PRODUCT MANAGER,R&D Data- SQL & Migration-1010
zealousideal-sun7415,PRINCIPAL PROGRAM MANAGER,Data Integration
traditional_tree5796,PRINCIPAL PM MANAGER,Platform PM R&D CA
joannapod,Principal Group Product Manager,Synapse Data Factory COGS
jmuziki,Senior Data Engineer,Insights & Analytics US R&D
spatialdonkey,PRINCIPAL PM MANAGER,Sovereign Azure Data Buildout US
sinkorswim-247,Principal Group Engineering Manager,Data Integration
jomitv,PRINCIPAL TECHNICAL PROGRAM MGR,Azure Data RnD 1010
jd0c,SENIOR PROGRAM MANAGER,CAT General UK R&D
jocaplan-msft,Partner Dir of PM,R&D Data - Customer Retention 1010
joshluedeman,Prin Digital CSA,CE&S  DCSA OPEX 1075
jovanpop-sql,PRINCIPAL PROGRAM MANAGER,DataWarehouse R&D RS
thejoy0fdata,SENIOR PROGRAM MANAGER,Insights & Analytics US R&D
daxnoobjustin,Senior Analytics Engineer,Insights & Analytics US COGS
julucznik,PARTNER DIRECTOR OF PROGRAM MA,Analytics HQ
k_choudhury2021,PRINCIPAL SW ENG MANAGER,Power BI AI_r
sqlsavvy,Prin Sol Engineer,Japan STU LUXEMBOURG
kartheek,PRINCIPAL SOFTWARE ENG MGR,Data Engineering R&D US
msft-kjonge,PRINCIPAL PROGRAM MANAGER,Power BI CAT_c
akatesmithsql,SENIOR PROGRAM MANAGER,R&D Data- SQL & Migration-1010
insightinnuendo,PRINCIPAL PROGRAM MANAGER LEAD,Power BI CAT_c
kevinlam_msft,PARTNER DIRECTOR OF PM,R&D - Data ASA
kizfar,Senior Data Engineer,Insights & Analytics US R&D
kimmanis,"CVP, FABRIC PM",MRTA HQ R&D US
kishanpujara,Senior Data Engineer,Fabric Plat 9 R&D US
kishorech,"VP, COSMOS & HDI",Analytics HQ
byteofkrishnamsft,SENIOR PROGRAM MANAGER,R&D Data - CDM 1010
lb-ms,SENIOR PROGRAM MANAGER,PBI Platform PM R&D IL
cellistleoli,PRINCIPAL PROGRAM MANAGER,R&D Data - CDM 1010
ok-extension2909,Senior Software Engineer,Analytics COGS CN
liliu_msft,SR PROGRAM MANAGER,Platform PM R&D CA
lijinglin,Senior Software Engineer,Data Engineering R&D 1107
jingwang-msft,SENIOR PROGRAM MANAGER,Data Integration
lizyech,PRINCIPAL DESIGN MANAGER,Analytics UX US
quartzff,PRINCIPAL SOFTWARE ENG MGR,Data Engineering R&D US
featureshipper,PRINCIPAL PROGRAM MANAGER,Fabric Product R&D
clamming-it,PRINCIPAL PROGRAM MANAGER,Project Capricorn ISV UK
few_reporter8322,PRINCIPAL SOFTWARE ENG MGR,COGS Data - SQL DB
def-love_data,PRINCIPAL PROGRAM MANAGER,CAT General US R&D
magevans1964,SENIOR CONTENT DESIGNER,Fabric UX US
maraki_msftfabric,PRINCIPAL PRODUCT MANAGER,Synapse Data Factory COGS
marisamathews,SR PROGRAM MANAGER,Community Partner US
markjbrown0,PRINCIPAL PM MANAGER,R&D Data- Cosmos Kirllg-1010
markkrom-MSFT,PRINCIPAL PM MANAGER,R&D Data - CDM 1010
tough_antelope_3440,SENIOR PROGRAM MANAGER,CAT General UK R&D
realeisber,PRINCIPAL AI ARCHITECT,DATA SCIENCE R&D US
mimi_ftw,Solution Engineer,FI-BPA
gradientdescenter,Chief AI Architect,Analytics HQ
callmerealboss,PROGRAM MANAGER 2,Platform PM R&D CA
mattb_msft,SENIOR PRODUCT MANAGER,OneLake PM Eng US COGS
matt_msft,PRINCIPAL PRODUCT MANAGER,OneLake PM Eng US R&D
pbivizdude,PRINCIPAL SOFTWARE ENG MGR,Power BI AI_r
agiantradish,SENIOR DESIGNER,Fabric UX US
itsdbtable,Senior Software Engineer,R&D Data - ADF 1010
fabfast,SENIOR PROGRAM MANAGER,Data Science & AI COGS
leafyml,SENIOR PROGRAM MANAGER,Platform PM R&D CA
m_rys_msft,PRINCIPAL PM MANAGER,Cosmos - COGS
michaelaisaacs,Product Manager,R&D Data - CDM 1010
escobarmiguel90,SENIOR PRODUCT MANAGER,R&D Data - CDM 1010
mllopis_msft,PRINCIPAL GROUP PROGRAM MGR,Data Integration
myersmiguel,PRINCIPAL PRODUCT MANAGER,Insights & Analytics US R&D
mavaali,PRINCIPAL PROGRAM MANAGER,R&D Data - CDM 1010
mwc360,PRINCIPAL PROGRAM MANAGER,CAT General UK R&D
mimig_msft,PRINCIPAL PROGRAM MANAGER,Fabric Plat 2 COGS US
mim722,SENIOR PROGRAM MANAGER,CAT DE US R&D
connect_feedback_866,PRINCIPAL PROGRAM MANAGER,CAT MRTA FR R&D
midesamsft,PRINCIPAL PRODUCT MANAGER,Data Science & AI COGS
falas6ene81,Senior Data Engineer,Insights & Analytics US R&D
mobyke,​​PRINCIPAL DESIGN MANAGER​,Community Partner US COGS
nadav_sc,SENIOR PRODUCT MANAGER,PBI Platform PM R&D IL
sparky_8942,PRINCIPAL PM MANAGER,M&A Project Orbit 1010
neerajjhaveri,PRINCIPAL APPLIED SCIENTIST,EngOps PRIMO US 1010
neetumsft,Senior Software Engineer,COGS Data - SQL DB
nelgson,Principal GPM,Analytics HQ
nickoftheday,PRINCIPAL PM MANAGER,Power BI CAT_c
upbeat_appeal_1891,PRINCIPAL PRODUCT MANAGER,R&D Azure Data IDC (Bgl)
nkvesic,PRINCIPAL PROGRAM MANAGER,Community Partner CA
nsh-ms,PRINCIPAL PM LEAD,PBI Platform PM R&D IL
blrgirlsln,SENIOR PRODUCT MANAGER,Fabric Ent Plat PM R&D US
noelli-msft,PROGRAM MANAGER,R&D Data - CDM 1010
ope-ms,Principal Group Product Mgr,Platform PM R&D CA
azdata_security,PARTNER GROUP SECURITY MGR,Kusto COGS CH
bluefooted,PRINCIPAL PROGRAM MANAGER,CAT DE US R&D
fabricpam,PRINCIPAL PROGRAM MANAGER,Community Partner CA
panantono,DISTINGUISHED ENGINEER,Databases HQ R&D US
hoosier_bi,PRINCIPAL PROGRAM MANAGER,CAT DW US R&D
patrickguyinacube,PRINCIPAL PRODUCT MANAGER,R&D Data- SQL & Migration-1010
toolboc,PRINCIPAL CLOUD ADVOCATE,AXE-DevRel-R&D 1010
pmpjr-msft,Sr Cloud Solution Architect,US HLS CSU CSA
pennyzhoumsft,SENIOR PROGRAM MANAGER,R&D Data - CDM 1010
periclesrocha,SENIOR PRODUCT MANAGER,Azure Data - Aliso Viejo
phil_seamark,PRINCIPAL PROGRAM MANAGER,Power BI CAT - Netherlands
pimorano,Principal PM Manager​,COGS Data - Synapse
commercial_growth198,SOFTWARE ENGINEER II,Substrate Platform_US_1010
snoo-46123,SENIOR PRODUCT MANAGER,Azure Data - Aliso Viejo
prat-dev,PARTNER SOFTWARE ENG MANAGER,App Dev US R&D
merateesra,PRINCIPAL PRODUCT MANAGER,OneLake PM Eng US R&D
askpriya,"VP Product, SQL",Databases HQ R&D US
qixiaow,PRINCIPAL PROGRAM MANAGER,Data Engineering R&D US
fabricatedwhpm,PRINCIPAL PRODUCT MANAGER,Synapse Data Factory COGS
raki_rahman,Principal Software Engineer,R&D Data- Hybrid & Arc-1010
ranadeeps,Senior Software Engineer Manager,M&A Project Orbit 1010
ravskaur,PARTNER GENERAL MANAGER,Fabric Product R&D
ratruong_msft,SOFTWARE ENGINEER 2,COGS Data - SQL DB
rochams,SR. SOFTWARE ENGINEER,Fabric Security US RD
frosty-ship-783,PRINCIPAL PROGRAM MANAGER,Power BI Service_r DO NOT USE
professionalrien,PROGRAM MANAGER 2,Fabric Security US RD
rd-sql-msft,SOFTWARE ENGINEER II,Fabric Graph US R&D
rpatkar,Principal Group Engineering Manager,Power BI AI_r
royondata,"Sr Director, ISV Ecosystem",R&D Data - Customer Retention 1010
theiceman44,Principal Lead TPM,Fabric Plat 2 COGS US
powerfulbreadfruit15,PRINCIPAL PROGRAM MANAGER,Intelligent user experience
ruixinxu,PRINCIPAL PRODUCT MANAGER,Data Engineering R&D US
sachinio,"GM, App Development",Databases HQ R&D US
data-artisan,PRINCIPAL PRODUCT MANAGER,R&D Azure Data IDC (Bgl)
sajee_mvp,PRINCIPAL PROGRAM MANAGER,Data - CosmosDB SG R&D
salt_ant3287,SENIOR PRODUCT MANAGER,Power BI Service_r DO NOT USE
sqlpowers,Product Manager II,Azure Data - Aliso Viejo
samirbdj,PRINCIPAL PRODUCT MANAGER,Data Engineering R&D US
pawar_bi,PRINCIPAL PROGRAM MANAGER,CAT General UK R&D
sanjayraut76,PRINCIPAL PROGRAM MANAGER,CAT General US R&D
thisissanthoshr,PRINCIPAL PRODUCT MANAGER,R&D Data - Synapse
select_specific8205,Principal GPM,Data Science & AI COGS
sarathsasidharan,SENIOR PROGRAM MANAGER,Power BI CAT - UK_c
lakeandlogic,Principal Software Engineer,OneLake Eng US R&D
contosobi,Director Pioneering AI Ops,COREAI_EXEC MGMT G&A
inthebacklog,SENIOR PROGRAM MANAGER,CAT DW US R&D
sean-watson-msft,PRINCIPAL PRODUCT MANAGER,App Dev US R&D
dimensionalthinker,PRINCIPAL PM MANAGER,Power BI CAT_c
shan_gsd,SENIOR PROGRAM MANAGER,Community Partner CA
fabshire25,SOFTWARE ENGINEER II,ILDC FABRIC PLATFORM
hopeful-one-4184,PRINCIPAL PRODUCT MANAGER,OneLake PM Eng US R&D
knshivaprasad,PRINCIPAL PRODUCT MANAGER,OneLake PM Eng US R&D
no_fault333,PARTNER GROUP SW ENG MGR,Spark R&D US
msft-shreyas,Product Manager,Data Science & AI COGS
shuaijun_ye,SENIOR PRODUCT MANAGER,Data Engineering R&D US
fit-meeting-7391,PARTNER DIRECTOR ENGINEERING,Analytics HQ
sidjayms,"VP, ENGINEERING",Data Integration HQ R&D
scoriani1968,Principal Software Engineer,R&D Data- SQL & Migration-1010
data_cruncher,PRINCIPAL PROGRAM MANAGER,CAT General US R&D
helpfulyou8745,SENIOR PRODUCT MANAGER,R&D Data - CDM 1010
sindhubharadwaj-msft,SENIOR PRODUCT MANAGER,R&D Data - CDM 1010
sacci_son,SENIOR PROGRAM MANAGER,DataWarehouse R&D RS
codepulse88,Senior Data Engineer,CEnS_BI US 1010
srulyt,PRINCIPAL PRODUCT MANAGER,PBI Platform PM R&D IL
stefan_azaric_msft,PROGRAM MANAGER 2,DataWarehouse R&D RS
fabricpartnersuccess,Partner Ecosystem Program Mgr,Community Partner CA
fabricpartnerteam,Partner Ecosystem Program Mgr,Community Partner CA
angryanalytics,Dir Data Analytics,CEnS_BI US 1010
strahinjarodic,PROGRAM MANAGER 2,New R D Serbia SQL 1866
practical-explorer68,Senior Software Engineer,OneLake Eng US R&D
sujatan,Principal GPM,Power BI HQ COGS
no-software-6757,SENIOR PRODUCT MANAGER,R&D Data- SQL & Migration-1010
charming-speech-5735,PRINCIPAL SOFTWARE ENGINEER​,Spark COGS BGL
solid-pickle445,PRINCIPAL PROGRAM MANAGER,R&D Data - CDM 1010
sunithamuthukrishna,PRINCIPAL PRODUCT MANAGER,App Dev US R&D
kustominister,SENIOR PROGRAM MANAGER,CAT MRTA FR R&D
strong-increase-2040,PRINCIPAL PM MANAGER,Insights & Analytics US R&D
occasionalporrada42,PRINCIPAL PRODUCT MANAGER,R&D Data - Synapse
bestblacksmith6020,PRINCIPAL PM LEAD,PBI Platform PM R&D IL
brave_living,Software Engineer ll,Azure Maps R&D US
pbi_teresa,DESIGNER II,BI UX US
gpa_t-rex,PRINCIPAL DESIGN MANAGER,Community Partner US COGS
jazzlike-opposite607,SENIOR PROGRAM MANAGER,Power BI CAT - UK_c
pilupital,Sr PM Mgr,Fabric Plat 2 COGS IL
tbindas,PRINCIPAL DATA ANALYST MANAGER,Fabric Plat 9 R&D US
tinofabricdw,Partner Director of Product,Analytics HQ
thpeps,PRINCIPAL PRODUCT MANAGER,OneLake PM Eng US COGS
tsaxmvp,SR R&D SOLUTION ARCHITECT,FastTrack Germany 1072_c
imtkain,Senior Data Engineer,CEnS_BI US 1010
winter_music_5474,SENIOR PRODUCT MANAGER,Azure Data - Aliso Viejo
tmacmsft,SR. PRODUCT MARKETING MANAGER,Data & AI
_tzvia,PRINCIPAL PM MANAGER,KUSTO PM 1604
vairavan-msft,PRINCIPAL ENGINEERING MANAGER,App Dev US R&D
val_ols,SENIOR PRODUCT MANAGER,R&D Data - Synapse
